nm_docente;chave;foto
DIEGO NUNES;K4744163T7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4744163T7
DILVO ILVO RISTOFF;K4783330A4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4783330A4
DIRCE WALTRICK DO AMARANTE;K4777476A5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4777476A5
DIVA SONAGLIO;K4780515E9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4780515E9
DJONES VINICIUS LETTNIN;K4701911T3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4701911T3
DORA MARIA ORTH;K4781239Z2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4781239Z2
DORIS GHILARDI;K4551035E2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4551035E2
DOUGLAS DYLLON JERONIMO DE MACEDO;K4742895U9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4742895U9
DOUGLAS FRANCISCO KOVALESKI;K4775127T6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4775127T6
DOUGLAS SOARES GONCALVES;K4244335E5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4244335E5
DULCE HELENA PENNA SOARES;K4787999H8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4787999H8
DULCINEIA GHIZONI SCHNEIDER;K4730607A5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4730607A5
EDAIR MARIA GORSKI;K4789102P3;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4789102P3
EDEMAR ROBERTO ANDREATTA;K4788907E5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4788907E5
EDGAR BISSET ALVAREZ;K8738821J6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K8738821J6
EDIO LUIZ PETROSKI;K4768557J7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4768557J7
EDIS MAFRA LAPOLLI;K4783890T7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4783890T7
EDISON DA ROSA;K4788126Z2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4788126Z2
