nome	ppg	centro	url
Programa de Pós-Graduação em Estudos da Tradução	272	6	https://repositorio.ufsc.br/handle/123456789/88241
Programa de Pós-Graduação em Farmácia	273	8	https://repositorio.ufsc.br/handle/123456789/214147
Programa de Pós-Graduação em Farmacologia	274	5	https://repositorio.ufsc.br/handle/123456789/82292
Programa de Pós-Graduação em Filosofia	275	11	https://repositorio.ufsc.br/handle/123456789/81352
Programa de Pós-Graduação em Física	276	12	https://repositorio.ufsc.br/handle/123456789/77533
Programa de Pós-Graduação em Fonoaudiologia	277	8	https://repositorio.ufsc.br/handle/123456789/238195
Programa de Pós-Graduação em Geografia	278	11	https://repositorio.ufsc.br/handle/123456789/214131
Programa de Pós-graduação em Geologia	279	11	https://repositorio.ufsc.br/handle/123456789/238331
Programa de Pós-Graduação em Gestão do Cuidado em Enfermagem	280	8	https://repositorio.ufsc.br/handle/123456789/247242
Programa de Pós-Graduação em História	281	11	https://repositorio.ufsc.br/handle/123456789/74785
Programa de Pós-Graduação em Inglês: Estudos Linguísticos e Literários	282	6	https://repositorio.ufsc.br/handle/123456789/128601
Programa de Pós-Graduação em Jornalismo	283	6	https://repositorio.ufsc.br/handle/123456789/92642
Programa de Pós-Graduação em Letras/Inglês e Literatura Correspondente	284	6	https://repositorio.ufsc.br/handle/123456789/74761
Programa de Pós-Graduação em Linguística	285	6	https://repositorio.ufsc.br/handle/123456789/74791
Programa de Pós-Graduação em Literatura	286	6	https://repositorio.ufsc.br/handle/123456789/74680
Programa de Pós-Graduação em Matemática e Computação Científica	288	12	https://repositorio.ufsc.br/handle/123456789/80823
Programa de Pós-Graduação em Matemática Pura e Aplicada	289	12	https://repositorio.ufsc.br/handle/123456789/103512
Programa de Pós-Graduação em Medicina Veterinária Convencional e Integrativa	290	3	https://repositorio.ufsc.br/handle/123456789/247743
Programa de Pós-Graduação em Métodos e Gestão em Avaliação	314	14	https://repositorio.ufsc.br/handle/123456789/129055
Programa de Pós-Graduação em Metrologia Científica e Industrial	291	14	https://repositorio.ufsc.br/handle/123456789/81815
Programa de Pós-graduação em Nanociência, Processos e Materiais Avançados	292	2	https://repositorio.ufsc.br/handle/123456789/234590
Programa de Pós-Graduação em Nanotecnologia Farmacêutica	293	8	https://repositorio.ufsc.br/handle/123456789/129681
Programa de Pós-Graduação em Neurociências	294	5	https://repositorio.ufsc.br/handle/123456789/81311
Programa de Pós-Graduação em Nutrição	295	8	https://repositorio.ufsc.br/handle/123456789/85028
Programa de Pós-Graduação em Oceanografia	296	12	https://repositorio.ufsc.br/handle/123456789/182067
Programa de Pós-Graduação em Odontologia	297	8	https://repositorio.ufsc.br/handle/123456789/74720
Programa de Pós-Graduação em Psicologia	298	11	https://repositorio.ufsc.br/handle/123456789/214160
Programa de Pós-Graduação em Química	299	12	https://repositorio.ufsc.br/handle/123456789/77317
Programa de Pós-Graduação em Recursos Genéticos Vegetais	300	4	https://repositorio.ufsc.br/handle/123456789/79419
Programa de Pós-Graduação em Relações Internacionais	301	13	https://repositorio.ufsc.br/handle/123456789/107113
Programa de Pós-Graduação em Saúde Coletiva	302	8	https://repositorio.ufsc.br/handle/123456789/93473
Programa de Pós-Graduação em Saúde Pública	303	8	https://repositorio.ufsc.br/handle/123456789/82509
Programa de Pós-Graduação em Serviço Social	304	13	https://repositorio.ufsc.br/handle/123456789/214140
Programa de Pós-Graduação em Sociologia e Ciência Política	305	11	https://repositorio.ufsc.br/handle/123456789/219323
Programa de Pós-Graduação em Sociologia Política	306	11	https://repositorio.ufsc.br/handle/123456789/75127
Programa de Pós-Graduação em Tecnologias da Informação e Comunicação	307	17	https://repositorio.ufsc.br/handle/123456789/167597
Programa de Pós-Graduação em Urbanismo, História e Arquitetura da Cidade	308	14	https://repositorio.ufsc.br/handle/123456789/90973
Programa de Pós-Graduação Interdisciplinar em Ciências Humanas	309	11	https://repositorio.ufsc.br/handle/123456789/82488
Programa de Pós-Graduação Multicêntrico em Ciências Fisiológicas	310	5	https://repositorio.ufsc.br/handle/123456789/94715
