nome	ppg	centro	url
Programa de Pós-Graduação em Assistência Farmacêutica	231	8	https://repositorio.ufsc.br/handle/123456789/123321/recent-submissions
Programa de Pós-Graduação em Biologia Celular e do Desenvolvimento	232	5	https://repositorio.ufsc.br/handle/123456789/95299/recent-submissions
Programa de Pós-Graduação em Biologia de Fungos, Algas e Plantas	233	5	https://repositorio.ufsc.br/handle/123456789/106741/recent-submissions
Programa de Pós-Graduação em Biologia Vegetal	234	5	https://repositorio.ufsc.br/handle/123456789/82371/recent-submissions
Programa de Pós-Graduação em Bioquímica	235	5	https://repositorio.ufsc.br/handle/123456789/92309/recent-submissions
Programa de Pós-Graduação em Biotecnologia	236	5	https://repositorio.ufsc.br/handle/123456789/80068/recent-submissions
Programa de Pós-Graduação em Biotecnologia e Biociências	238	5	https://repositorio.ufsc.br/handle/123456789/95265/recent-submissions
Programa de Pós-Graduação em Ciência da Computação	239	14	https://repositorio.ufsc.br/handle/123456789/76362/recent-submissions
Programa de Pós-Graduação em Ciência da Informação	240	10	https://repositorio.ufsc.br/handle/123456789/75302/recent-submissions
Programa de Pós-Graduação em Ciência dos Alimentos	241	4	https://repositorio.ufsc.br/handle/123456789/77043/recent-submissions
Programa de Pós-Graduação em Ciência e Engenharia de Materiais	242	14	https://repositorio.ufsc.br/handle/123456789/92121/recent-submissions
Programa de Pós-Graduação em Ciências da Reabilitação	243	17	https://repositorio.ufsc.br/handle/123456789/193204/recent-submissions
Programa de Pós-Graduação em Ciências Médicas	245	8	https://repositorio.ufsc.br/handle/123456789/78570/recent-submissions
Programa de Pós-Graduação em Contabilidade	246	13	https://repositorio.ufsc.br/handle/123456789/88278/recent-submissions
Programa de Pós-Graduação em Cuidados Intensivos e Paliativos	247	8	https://repositorio.ufsc.br/handle/123456789/128668/recent-submissions
Programa de Pós-Graduação em Desastres Naturais	312	11	https://repositorio.ufsc.br/handle/123456789/187813/recent-submissions
Programa de Pós-Graduação em Design	248	6	https://repositorio.ufsc.br/handle/123456789/173657/recent-submissions
Programa de Pós-Graduação em Design e Expressão Gráfica	249	6	https://repositorio.ufsc.br/handle/123456789/91062/recent-submissions
Programa de Pós-Graduação em Ecologia	251	5	https://repositorio.ufsc.br/handle/123456789/93354/recent-submissions
Programa de Pós-Graduação em Economia	252	13	https://repositorio.ufsc.br/handle/123456789/79531/recent-submissions
Programa de Pós-Graduação em Ecossistemas Agrícolas e Naturais	253	3	https://repositorio.ufsc.br/handle/123456789/191514/recent-submissions
Programa de Pós-Graduação em Educação	254	10	https://repositorio.ufsc.br/handle/123456789/214164/recent-submissions
Programa de Pós-Graduação em Educação Científica e Tecnológica	255	10	https://repositorio.ufsc.br/handle/123456789/86755/recent-submissions
Programa de Pós-Graduação em Educação Física	256	9	https://repositorio.ufsc.br/handle/123456789/77894/recent-submissions
Programa de Pós-Graduação em Energia e Sustentabilidade	257	17	https://repositorio.ufsc.br/handle/123456789/193248/recent-submissions
Programa de Pós-Graduação em Enfermagem	258	8	https://repositorio.ufsc.br/handle/123456789/74847/recent-submissions
Programa de Pós-Graduação em Engenharia Ambiental	259	14	https://repositorio.ufsc.br/handle/123456789/76507/recent-submissions
Programa de Pós-Graduação em Engenharia Civil	260	14	https://repositorio.ufsc.br/handle/123456789/214168/recent-submissions
Programa de Pós-Graduação em Engenharia de Alimentos	261	14	https://repositorio.ufsc.br/handle/123456789/214194/recent-submissions
Programa de Pós-Graduação em Engenharia de Automação e Sistemas	262	14	https://repositorio.ufsc.br/handle/123456789/128640/recent-submissions
Programa de Pós-Graduação em Engenharia de Produção	263	14	https://repositorio.ufsc.br/handle/123456789/74657/recent-submissions
Programa de Pós-Graduação em Engenharia de Sistemas Eletrônicos	264	16	https://repositorio.ufsc.br/handle/123456789/211473/recent-submissions
Programa de Pós-Graduação em Engenharia de Transportes e Gestão Territorial	265	14	https://repositorio.ufsc.br/handle/123456789/176924/recent-submissions
Programa de Pós-Graduação em Engenharia e Ciências Mecânicas	266	16	https://repositorio.ufsc.br/handle/123456789/175899/recent-submissions
Programa de Pós-Graduação em Engenharia Mecânica	269	14	https://repositorio.ufsc.br/handle/123456789/74817/recent-submissions
Programa de Pós-Graduação em Engenharia Química	270	14	https://repositorio.ufsc.br/handle/123456789/214193/recent-submissions
Programa de Pós-graduação em Engenharia Têxtil	271	2	https://repositorio.ufsc.br/handle/123456789/226989/recent-submissions
