ano,titulo,resumo_pt,abstract_en,autores,orientadores,id_tipo_documento,dc_type_raw,url
,,,,,,,,https://repositorio.ufsc.br/handle/123456789/74645
2025,"O ensino em Medicina Veterinária: convergências, divergências e gestão em IES públicas catarinenses","O curso de Medicina Veterinária, de acordo com o Conselho Federal de Medicina Veterinária (CFMV) 2025, foi regulamentado pelo Decreto 23.133. O último censo apresentado pelo respectivo conselho informa da existência de 145,6 mil profissionais regulamentados até novembro de 2020. O referido curso tem passado por constantes transformações, motivadas pelas Diretrizes Curriculares Nacionais e pela crescente demanda por profissionais mais bem preparados para lidar com os desafios da saúde animal, pública e ambiental. Diante das diversas modificações que o afetaram, essa pesquisa teve por objetivo principal mapear convergências e divergências internas na gestão da reestruturação curricular dos cursos de Medicina Veterinária em Instituições de Ensino Superior Públicas Catarinenses, sob a perspectiva dos gestores institucionais. Neste sentido, optou-se por uma abordagem qualitativa, com análise documental e entrevistas semiestruturadas, buscando compreender não apenas o conteúdo dos currículos, mas também os processos institucionais e decisórios envolvidos em sua reformulação. Os resultados evidenciaram que, embora existam elementos em comum entre os cursos ofertados nas IES catarinenses, como a incorporação de disciplinas voltadas à interdisciplinaridade, saúde única e extensão, também foram identificadas disparidades significativas no que tange à infraestrutura, maturidade institucional. O estudo também demonstrou que a atuação dos coordenadores de curso, embora fundamental, se dá predominantemente em uma lógica reativa, voltada à resolução de problemas cotidianos, dificultando sua participação estratégica e envolvimento nos processos de planejamento e inovação pedagógica. No específico, as dificuldades enfrentadas pelos coordenadores incluem resistência dos pares, sobrecarga de trabalho, falta de apoio institucional e entraves burocráticos, fatores que comprometem a efetividade das mudanças curriculares propostas. Como conclusão foram mapeadas as principais convergências observadas se referem à busca por atender às novas Diretrizes Curriculares Nacionais, à valorização da extensão universitária e à tentativa de integração entre teoria e prática. Já as principais divergências dizem respeito à infraestrutura disponível, e à maturidade na gestão dos cursos. A pesquisa permitiu perceber que, apesar da relevância inerente ao papel do coordenador de curso no processo de reestruturação curricular, este se apresentou mais associado à gestão operacional do que à formulação estratégica, o que aponta para a necessidade de revisão das práticas operacionais e estrutura de governança acadêmica nas instituições analisadas.","Abstract: The Veterinary Medicine program, according to the Federal Council of Veterinary Medicine (CFMV, 2025), was regulated by Decree 23.133. The most recent census released by the Council reported the existence of 145,600 licensed professionals as of November 2020. The program has undergone constant transformations, driven by the National Curriculum Guidelines and the growing demand for professionals better prepared to address the challenges of animal, public, and environmental health. In light of the various changes that have affected the field, this research aimed to map internal convergences and divergences in the management of curricular restructuring in Veterinary Medicine programs at public higher education institutions in Santa Catarina, from the perspective of institutional managers. To this end, a qualitative approach was adopted, involving document analysis and semi-structured interviews, seeking to understand not only the curricular content but also the institutional and decisionmaking processes involved in its reformulation. The results revealed that, although common elements exist among the programs offered at public institutions in Santa Catarina such as the incorporation of courses focused on interdisciplinarity, One Health, and extension activities significant disparities were also identified regarding infrastructure and institutional maturity. The study further showed that the role of program coordinators, though fundamental, is predominantly carried out within a reactive logic aimed at solving day-to-day problems, which hinders their strategic participation and involvement in planning and pedagogical innovation processes. Specifically, the difficulties faced by coordinators include peer resistance, work overload, lack of institutional support, and bureaucratic obstacles, all of which compromise the effectiveness of the proposed curricular changes. In conclusion, the main convergences observed refer to efforts to comply with the new National Curriculum Guidelines, the appreciation of university extension, and the attempt to integrate theory and practice. The main divergences, on the other hand, concern the availability of infrastructure and the maturity of course management. The research revealed that, despite the inhert relevance of the coordinator's role in the curricular restructuring process, it is more closely associated with operational management than with strategic formulation, pointing to the need for a revision of operational practices and academic governance structures in the institutions analyzed.",Gisele Lima Luiz,Mário César Barreto Moraes,1,Dissertação (Mestrado),https://repositorio.ufsc.br/handle/123456789/269526
2025,A loja física em tempos digitais: estudo de caso das adaptações estratégicas de duas redes supermercadistas de Santa Catarina,"A presente dissertação, investiga como organizações supermercadistas têm estruturado suas respostas diante das transformações impostas pelo ambiente digital. O objetivo central é compreender de que maneira as lojas físicas, em sua dimensão organizacional, permanecem relevantes e atuam como ativos estratégicos em meio às mudanças no comportamento do consumidor e na dinâmica competitiva do setor. Para tanto, adotou-se uma abordagem qualitativa, de caráter descritivo-explicativo, fundamentada em estudo de casos múltiplos. A coleta de dados ocorreu por meio de entrevistas semiestruturadas com executivos, análise documental e observação direta nas unidades estudadas. Os resultados revelam que a loja física não se limita ao papel de ponto de vendas, mas constitui um espaço de experiências, integração operacional e diferenciação competitiva. Ademais, evidenciou-se que o porte organizacional influencia diretamente as decisões estratégicas e a capacidade de incorporação tecnológica, refletindo-se em distintos arranjos de gestão e relacionamento com os consumidores. Assim, a pesquisa contribui para o entendimento das adaptações estratégicas organizacionais no varejo supermercadista, reforçando a centralidade da loja física em tempos digitais.","Abstract: This dissertation, investigates how supermarket organizations have structured their responses to the transformations imposed by the digital environment. The main objective is to understand how physical stores, in their organizational dimension, remain relevant and act as strategic assets amid changes in consumer behavior and the competitive dynamics of the sector. A qualitative, descriptive-explanatory approach was adopted, based on multiple case studies. Data collection involved semi-structured interviews with executives, documentary analysis, and direct observation in the studied units. The results reveal that the physical store is not limited to the role of a point of sale but constitutes a space for experiences, operational integration, and competitive differentiation. Furthermore, it was found that organizational size directly influences strategic decisions and the capacity for technological incorporation, reflected in different management arrangements and customer relationship practices. Therefore, this research contributes to the understanding of organizational strategic adaptations in supermarket retail, reinforcing the centrality of the physical store in digital times.",Fábio Roberto Kuhn Farias,Marco Antonio de Moraes Ocke,1,Dissertação (Mestrado),https://repositorio.ufsc.br/handle/123456789/269205
2025,O impacto da inovação verde e dos critérios ESG no desempenho financeiro das empresas listadas na B3,"Este estudo abordou a lacuna na literatura brasileira sobre a interação entre inovação verde e critérios ESG (ambiental, social e governança) no desempenho financeiro de empresas listadas na B3 entre 2015 e 2020, com o objetivo de avaliar os efeitos diretos de patentes ambientais e escores ESG, além dos impactos indiretos mediados por investimentos em pesquisa e desenvolvimento, sobre indicadores financeiros como retorno sobre patrimônio líquido, margem de lucro e liquidez corrente. A amostra incluiu cinquenta empresas de diferentes setores, cujos dados foram obtidos de demonstrações contábeis públicas, bases de patentes verdes e agências especializadas em ESG. A metodologia envolveu regressões múltiplas para aferir efeitos diretos e modelagem de equações estruturais para testar mediações entre variáveis, complementada por testes de multicolinearidade (VIF), heterocedasticidade (Breusch?Pagan) e endogeneidade (Hausman) para garantir a validade interna dos resultados. A seleção do período refletiu o amadurecimento das práticas ESG no Brasil e permitiu capturar possíveis evoluções regulatórias e tecnológicas, enquanto a diversificação setorial contribuiu para a generalização dos achados. Os achados apresentaram coeficientes positivos e significativos: 0,15 (p?=?0,013) para escore ESG, 0,28 (p?=?0,002) para patentes verdes e 0,35 (p?=?0,001) para investimento em P&D, enquanto o caminho de mediação explicou 11?% dos efeitos financeiros totais. O modelo registrou coeficiente de determinação de 51?%, indicando que mais da metade da variação na rentabilidade pode ser atribuída a fatores sustentáveis. Os resultados demonstram que a adoção de práticas de inovação verde e de estratégias ESG funciona como alavanca de competitividade e sustentabilidade de longo prazo, fornecendo subsídios para gestores, investidores e formuladores de políticas públicas orientados a promover mercados mais responsáveis e resilientes.","Abstract: This study addressed the gap in Brazilian literature regarding the interaction between green innovation and ESG (environmental, social, and governance) criteria in the financial performance of companies listed on B3 between 2015 and 2020. The objective was to assess the direct effects of environmental patents and ESG scores, as well as the indirect impacts mediated by research and development (R&D) investments, on financial indicators such as return on equity, profit margin, and current liquidity. The sample included fifty companies from different sectors, with data obtained from public financial statements, green patent databases, and specialized ESG agencies. The methodology involved multiple regressions to measure direct effects and structural equation modeling to test mediations between variables, complemented by tests for multicollinearity (VIF), heteroskedasticity (Breusch?Pagan), and endogeneity (Hausman) to ensure internal validity. The selection of the period reflected the maturation of ESG practices in Brazil and allowed for capturing potential regulatory and technological developments, while sectoral diversification contributed to the generalization of findings. The results showed positive and significant coefficients: 0.15 (p = 0.013) for ESG score, 0.28 (p = 0.002) for green patents, and 0.35 (p = 0.001) for R&D investment, while the mediation pathway explained 11% of total financial effects. The model registered a coefficient of determination of 51%, indicating that more than half of profitability variation can be attributed to sustainable factors. The findings demonstrate that adopting green innovation practices and ESG strategies acts as a lever for competitiveness and long-term sustainability, providing guidance for managers, investors, and policymakers oriented toward promoting more responsible and resilient markets.",Arianne Hiran Bispo da Silva,Gabriela Gonçalves Silveira Fiates,1,Dissertação (Mestrado),https://repositorio.ufsc.br/handle/123456789/269162
2025,Estratégias universitárias empreendedoras para o desenvolvimento sustentável regional catarinense,"A presente tese aborda as estratégias universitárias que norteiam os projetos empreendedores e como esses projetos contribuem na criação de empreendimentos inovadores e sustentáveis, avaliando impactos no desenvolvimento sustentável regional, buscando compreender o processo através da percepção dos gestores das universidades e gestores dos projetos empreendedores em relação à estratégia universitária, suas potencialidades e limitações. Tem como objetivos caracterizar as estratégias universitárias que estimulam o empreendedorismo; descrever o impacto para o desenvolvimento sustentável regional do empreendedorismo advindo de estratégias universitárias; identificar as potencialidades e limitações das estratégias universitárias que influenciam na contribuição do empreendedorismo para o desenvolvimento sustentável regional; e propor elementos para um modelo de estratégias universitárias que potencialize a geração de novos empreendimentos que estimulem o desenvolvimento sustentável regional. Para isto, a pesquisa realizada foi classificada como estudo de caso e com abordagem qualitativa. Quanto ao seu delineamento foi categorizada como descritiva e exploratória. A população intencionalmente escolhida foi das Universidades da região norte catarinense UFSC, UDESC E UNIVILLE, sendo os sujeitos da pesquisa os gestores locais e os coordenadores dos projetos empreendedores. Foi utilizada a técnica de análise interpretativa de dados que foram coletados através de entrevistas semiestruturadas. Os resultados mostram elementos para um modelo de estratégias universitárias que apontam para os inúmeros desafios e complexidade de se implementar estratégias universitárias que apoiem com eficiência os projetos empreendedores institucionais e que esses, por sua vez, possam apoiar a criação de empreendimentos que já nasçam com comprometimento socioambiental e possam efetivamente contribuir com o desenvolvimento sustentável regional. O trabalho apresenta uma pesquisa inserida no recorte envolvendo os entrevistados que compõem a tríplice hélice do ecossistema de empreendedorismo inovador e sustentável regional, sendo analisados os temas estratégia universitária e educação empreendedora, relacionados com desenvolvimento regional e sustentável associados aos objetivos de desenvolvimento sustentável apresentados pela Organização das Nações Unidas, percebendo-se entre os resultados que ainda há um distanciamento entre as pás dessa hélice, conforme os gestores entrevistados. Destaca-se a necessidade de uma maior capacitação dos gestores nos aspectos de cooperação e empreendedorismo inovador e sustentável, bem como um maior envolvimento e aproximação de todos nessa relação, sendo considerada positiva a criação de uma estrutura de gestão do tríplice hélice em cada universidade para fomentar e fortalecer a atuação dos projetos empreendedores, seus respectivos empreendimentos e impactos positivos no desenvolvimento sustentável regional. A pesquisa resultou na proposta de 8 elementos: governança participativa; conexão e parcerias com o ecossistema; formação continuada na educação empreendedora; infraestrutura de apoio; busca de financiamento e apoio técnico; currículos flexíveis e integrados às demandas regionais; fomento aos projetos institucionais de empreendedorismo inovador e sustentável; e a criação de um observatório para avaliação e acompanhamento de projetos de egressos e do desenvolvimento sustentável regional.","Abstract: This thesis addresses the university strategies that guide entrepreneurial projects and how these projects contribute to the creation of innovative and sustainable ventures. It assesses their impact on regional sustainable development, seeking to understand the process through the perceptions of university administrators and entrepreneurial project managers regarding university strategies, their strengths, and limitations. The objectives are to characterize university strategies that stimulate entrepreneurship; describe the impact of entrepreneurship on regional sustainable development stemming from university strategies; identify the strengths and limitations of university strategies that influence entrepreneurship's contribution to regional sustainable development; and propose elements for a model of university strategies that enhance the generation of new ventures that stimulate regional sustainable development. To this end, the research was classified as a case study with a qualitative approach. Its design was categorized as descriptive and exploratory. The intentionally selected population was from the universities of the northern region of Santa Catarina (UFSC, UDESC, and UNIVILLE), with the research subjects being local administrators and coordinators of entrepreneurial projects. Interpretive analysis of data collected through semi-structured interviews was used. The results reveal elements for a model of university strategies that highlight the numerous challenges and complexities of implementing university strategies that effectively support institutional entrepreneurial projects. These strategies, in turn, can support the creation of ventures that are born with a socio-environmental commitment and can effectively contribute to regional sustainable development. The study presents a survey involving interviewees who make up the triple helix of the regional innovative and sustainable entrepreneurship ecosystem. The topics of university strategy and entrepreneurial education are analyzed, as they relate to regional and sustainable development, linked to the United Nations' Sustainable Development Goals. The results reveal that, according to the interviewees, there is still a gap between the blades of this helix. The need for greater training of managers in aspects of cooperation and innovative and sustainable entrepreneurship is highlighted, as well as greater involvement and engagement of all in this relationship. The creation of a triple helix management structure at each university is considered positive to foster and strengthen the performance of entrepreneurial projects, their respective ventures, and their positive impact on regional sustainable development. The research resulted in the proposal of eight elements: participatory governance; connection and partnerships with the ecosystem; continuing education in entrepreneurial education; support infrastructure; seeking financing and technical support; flexible curricula integrated with regional demands; fostering institutional projects of innovative and sustainable entrepreneurship; and the creation of an observatory to evaluate and monitor alumni projects and regional sustainable development.",João Alceu Ramos Beltrão,Pedro Antônio de Melo,2,Tese (Doutorado),https://repositorio.ufsc.br/handle/123456789/267744
2025,Plant based alternativos à carne: análise dos fatores que influenciam a intenção de compra,"Nas décadas dos anos 2000 a 2020, os produtos plant-based alternativos à carne têm ganhado crescente popularidade, impulsionados pelo aumento do número de consumidores que adotam dietas que reduzem ou excluem alimentos de origem animal. Esse movimento reflete não apenas preocupações éticas e ambientais, mas também o reconhecimento dos benefícios associados a essas dietas para a saúde individual. Apesar do avanço desse mercado e do aumento no número de estudos voltados a ele, ainda existem lacunas teóricas, especialmente no que diz respeito à influência de fatores situacionais e de marketing na intenção de compra desses produtos. Diante desse cenário, esta pesquisa teve como objetivo investigar os fatores que influenciam a intenção de compra de alimentos plant-based alternativos à carne, contribuindo para o aprofundamento do conhecimento sobre sua comercialização e consumo. Para tanto, foi conduzida uma pesquisa qualitativa de caráter exploratório, utilizando grupos focais como técnica de coleta de dados e análise temática como método de interpretação. Foram realizados três grupos focais, cada um com quatro participantes, com composição equilibrada em termos de gênero e predominância do público feminino. Durante as sessões, os participantes foram estimulados a compartilhar percepções, experiências e opiniões sobre diferentes aspectos do consumo de alimentos plant-based. Os resultados evidenciam que a intenção de compra é influenciada por uma combinação de fatores socioculturais, pessoais, psicológicos, situacionais e, de forma destacada, de marketing ? como preço, embalagem e estratégias de comunicação. A pesquisa contribui para ampliar o entendimento sobre os desafios e oportunidades enfrentados pelas marcas nesse segmento, oferecendo subsídios para o desenvolvimento de estratégias mais eficazes de posicionamento e engajamento do consumidor.","Abstract: In recent decades, plant-based meat alternatives have gained increasing popularity, driven by the growing number of consumers adopting diets that reduce or eliminate animal-based products. This shift reflects not only ethical and environmental concerns but also a recognition of the health benefits associated with such diets. Despite the growth of this market and the expansion of related studies, theoretical gaps remain ? particularly regarding the influence of situational and marketing factors on the consumption of plant-based foods. In this context, the present research aimed to investigate the factors that influence the purchase intention of plant-based meat alternatives, contributing to a deeper understanding of their commercialization and consumption. A qualitative exploratory approach was adopted, using focus groups as the primary data collection technique and thematic analysis as the analytical method. Three focus groups were conducted, each composed of four participants, with a gender-balanced composition and a majority of female participants. During the sessions, participants were encouraged to share their perceptions, experiences, and opinions on various aspects of plant-based food consumption. The findings reveal that purchase intention is influenced by a combination of sociocultural, personal, psychological, situational, and notably, marketing factors ? such as price, packaging, and communication strategies. This research offers valuable insights into the challenges and opportunities faced by brands in this segment, providing support for the development of more effective consumer engagement and positioning strategies.",Lyza Pereira,Marco Antonio de Moraes Ocke,1,Dissertação (Mestrado),https://repositorio.ufsc.br/handle/123456789/267740
2025,Produção orgânica de Santa Catarina: uma análise dos produtores sob a perspectiva da economia institucional-evolucionária,"No institucionalismo evolucionário, as instituições são hábitos de vida e de comportamento socialmente herdados e compartilhados. Mediante um processo cumulativo, se convertem em regras estabelecidas e estruturantes de interações sociais. Tendo autores da Economia Institucionalista Evolucionária como principal referencial teórico-analítico, nossa pretensão foi analisar como os produtores orgânicos do estado de Santa Catarina constroem e modificam suas instituições produtivas e comerciais, mediante os próprios hábitos de pensamento e ação, os regramentos institucionais (legislações específicas para a produção orgânica/agroecológica) e as políticas públicas de apoio a esse sistema de produção. Compondo um paradigma interpretativista e uma abordagem qualitativa, a estratégia adotada foi o Estudo de Caso, tendo a análise de narrativa como técnica analítica, combinada a aspectos importantes das legislações específicas para a produção orgânica e das políticas públicas. A análise teve suporte do software Taguette e uso da triangulação para a compreensão do objeto estudado. A população deste estudo foram os produtores orgânicos certificados das seis mesorregiões do Estado de Santa Catarina, selecionados atendendo a critérios de conveniência, intencionalidade e acessibilidade. O sistema orgânico propõe o uso racional dos recursos naturais, com emprego de métodos tradicionais de cultivo e tecnologias recentes para a produção de alimentos livres de contaminantes químicos e agrotóxicos, benéficos para o consumo humano. O conhecimento da trajetória dos entrevistados e suas ações coletivas, no entanto, denota aspectos identitários e político-ideológicos intrínsecos ao movimento agroecológico, para além de uma matriz produtiva de base orgânica. Esses elementos permitiram a elaboração de uma tipologia dos produtores pesquisados, organizada em três grupos com características e padrões de condutas comuns, nomeadas como ?resiliente?, ?mobilizadora? e ?crítica?. A compreensão das dinâmicas produtivas e comerciais adotadas por eles revelou que a ação coletiva e a estrutura institucional (regramentos e políticas públicas) interferem na concretização dos hábitos, contribuindo para o processo de mudança, tendo a herança institucional e a dependência da trajetória como matéria-prima. Essa estrutura também é influenciada pela ação desses sujeitos, constituindo um movimento de retroalimentação.","Abstract: In evolutionary institutionalism, institutions are socially inherited and shared habits of life and behavior. Through a cumulative process, they become established rules that structure social interactions. Using authors from Evolutionary Institutionalist Economics as the main theoretical-analytical reference, our aim was to analyze how organic producers in the state of Santa Catarina build and modify their productive and commercial institutions, through their own habits of thought and action, institutional regulations (specific legislation for organic/agroecological production) and public policies supporting this production system. Composing an interpretative paradigm and a qualitative approach, the strategy adopted was the Case Study, with narrative analysis as an analytical technique, combined with important aspects of specific legislation for organic production and public policies. The analysis was supported by Taguette software and triangulation was used to understand the object studied. The population of this study was certified organic producers from the six mesoregions of the State of Santa Catarina, selected according to criteria of convenience, intentionality and accessibility. The organic system proposes the rational use of natural resources, employing traditional cultivation methods and recent technologies for the production of food free of chemical contaminants and pesticides, which is beneficial for human consumption. Knowledge of the interviewees' trajectories and their collective actions, however, denotes identity and political-ideological aspects intrinsic to the agroecological movement, in addition to an organic-based production matrix. These elements allowed the development of a typology of the producers researched, organized into three groups with common characteristics and behavior patterns, named ?resilient?, ?mobilizing? and ?critical?. Understanding the productive and commercial dynamics adopted by them revealed that collective action and the institutional structure (regulations and public policies) interfere in the implementation of habits, contributing to the process of change, and having institutional heritage and path dependence as raw materials. This structure is also influenced by the actions of these subjects, constituting a feedback movement.",Julie Rossato Fagundes,Silvio Antônio Ferraz Cário,2,Tese (Doutorado),https://repositorio.ufsc.br/handle/123456789/267561
2025,Alfabetização financeira e bem-estar financeiro: um estudo com mulheres horticultoras de Guiné-Bissau,"A alfabetização financeira tem ganhado destaque no cenário internacional como uma estratégia essencial para o enfrentamento da vulnerabilidade econômica e para a promoção do bem-estar financeiro em populações marginalizadas. Neste contexto, este estudo teve como objetivo analisar o impacto da alfabetização financeira no bem-estar financeiro das mulheres horticultoras de Guiné-Bissau. A alfabetização financeira foi compreendida como um construto multidimensional, composto por conhecimento, atitude e comportamento financeiro. O bem-estar financeiro foi avaliado a partir da percepção das participantes sobre sua situação financeira, capacidade de lidar com imprevistos e planejamento futuro. A pesquisa adotou abordagem quantitativa, por meio da aplicação de questionários estruturados, e envolveu análise estatística descritiva, testes de associação e regressões lineares múltiplas. Os resultados indicaram que a alfabetização financeira exerce um efeito positivo e estatisticamente significativo sobre o bem-estar financeiro, sendo capaz de explicar aproximadamente 7,7% da sua variância. Entre os três componentes da alfabetização financeira, o comportamento apresentou os maiores escores, enquanto o conhecimento financeiro foi o mais deficiente. Diferenças significativas também foram observadas em função da escolaridade, presença de dívidas, recebimento de auxílio governamental e hábito de controle de gastos. A variável inclusão financeira, quando percebida em níveis elevados, esteve associada a maiores níveis de bem-estar. Apesar das contribuições da pesquisa, identificou-se uma limitação importante na mensuração do conhecimento financeiro, cujos itens não estavam totalmente adaptados à realidade local. Conclui-se que a alfabetização financeira, quando combinada a políticas de inclusão e apoio institucional, pode contribuir significativamente para a promoção do bem-estar financeiro de mulheres em contextos de vulnerabilidade. Os achados podem subsidiar ações educativas e políticas públicas voltadas à capacitação e valorização econômica dessa população.","Abstract: Financial literacy has gained prominence in the international agenda as a key strategy for addressing economic vulnerability and promoting financial well-being among marginalized populations. In this context, the present study aimed to analyze the impact of financial literacy on the financial well-being of female horticulturists in Guinea-Bissau. Financial literacy was conceptualized as a multidimensional construct, encompassing financial knowledge, attitudes, and behaviors. Financial well-being was assessed based on the participants? perceptions of their financial situation, ability to cope with unforeseen expenses, and future planning. This quantitative research employed structured questionnaires and included descriptive statistical analysis, association tests, and multiple linear regressions. The results indicate that financial literacy has a positive and statistically significant effect on financial well-being, explaining approximately 7.7% of its variance. Among the three components of financial literacy, financial behavior scored highest, while financial knowledge was the most deficient. Significant differences were also observed in relation to educational level, debt status, receipt of government assistance, and spending control habits. Financial inclusion, when perceived as high, was associated with greater levels of financial well-being. Despite the study's contributions, an important limitation was identified in the measurement of financial knowledge, as several items were not fully adapted to the local context. It is concluded that financial literacy, when combined with inclusive policies and institutional support, can significantly contribute to improving financial well-being among women in vulnerable contexts. The findings can inform educational initiatives and public policies aimed at empowering and economically strengthening this population.",Teju Ducanda,Ani Caroline Grigion Potrich,1,Dissertação (Mestrado),https://repositorio.ufsc.br/handle/123456789/267511
2025,Políticas públicas orientadas por dados: proposta de um framework,"As Políticas Públicas (PP) constituem um curso de ação ou inação do Estado que, por meio de decisões complexas e resultantes da atividade política, atua com sua autoridade soberana quanto à alocação dos recursos públicos. Subentende-se que tais decisões devem se basear não somente em elementos meramente políticos, mas considerar dados e informações consistentes. Posto que, com o aumento exponencial na produção e armazenamento de dados e as possibilidades analíticas oriundas da Ciência de Dados, esses elementos podem contribuir significativamente ao longo do Ciclo de Vida das PP. Nesse sentido, propõe-se um framework que orienta o planejamento, a execução e a avaliação de PP. A condução da pesquisa se deu por pesquisa documental e bibliográfica, bem como pela análise de conteúdo possibilitando a identificação de 19 fatores críticos relacionados ao uso de dados no contexto das PP. Foram elaborados 246 itens avaliativos envolvendo cada fator crítico, sendo que, os dez itens relativos ao uso de mídias sociais, foram aplicados aos 278 municípios brasileiros com população entre 100 mil e 500 mil habitantes. Aplicando os pressupostos da Teoria de Resposta ao Item a esses itens, definiu-se uma escala avaliativa quantitativa que permite classificar seus respondentes. Os municípios puderam ser agrupados em quatro níveis, sendo que no nível mais elementar situam-se municípios que utilizam apenas mídias como Facebook, Instagram e Youtube para realizar divulgações de serviços, eventos e notícias. E no nível mais alto da escala estão aqueles municípios que também utilizam ferramentas de interação e comunicação direta com a população, como o uso de chatbots. Além da escala, a obtenção dos escores individuais possibilita a comparabilidade entre os municípios avaliados, a identificação de boas práticas, o acompanhamento temporal e as experiências exitosas no contexto da Administração Pública.","Abstract: Public policies (PP) are a series of actions or inactions taken by the state to allocate public resources, utilizing sovereign authority to make complex decisions resulting from political activity. It is understood that such decisions must be based not only on political elements but also on consistent data and information. Given that, with the exponential increase in data production and storage and the analytical possibilities arising from data science, they can contribute significantly throughout the PP life cycle. In this sense, a framework is proposed to guide the planning, execution, and evaluation of PP. The research was conducted through documentary and bibliographical research, as well as content analysis, enabling the identification of 19 critical factors related to the use of data in the context of PP. 246 evaluation items were developed involving each critical factor, and the ten items related to the use of social media were applied to the 278 Brazilian municipalities with populations between 100,000 and 500,000 inhabitants. By applying the assumptions of item response theory to these items, a quantitative evaluation scale was defined that allows the classification of respondents. The municipalities could be grouped into four levels, with the most basic level being those that use only media such as Facebook, Instagram, and YouTube to publicize services, events, and news. The highest level of the scale includes those municipalities that also use tools for interaction and direct communication with the population, such as the use of chatbots. In addition to the scale, the individual scores allow for benchmarking between municipalities, the identification of successful practices, and performance tracking over time, thus providing a powerful tool for improving public administration.",Rodrigo Speckhahn Soares da Silva,Claudelino Martins Dias Junior,2,Tese (Doutorado),https://repositorio.ufsc.br/handle/123456789/266980
2025,Open strategy em interações online e presenciais na perspectiva da sociomaterialidade: um estudo etnográfico em projetos de consultoria,"O fenômeno da abertura da estratégia tem sido identificado com amplitude no atual cenário tecnológico do ambiente de trabalho. A curva de adoção de novas tecnologias foi acelerada por eventos externos, o que modificou a forma de construir e implementar a estratégia. Nesse cenário inédito nasce o objetivo deste estudo: compreender como ocorre a abertura da estratégia considerando a interação nos ambientes online e presencial, na perspectiva da sociomaterialidade. Para este fim, a pesquisa foi fundamentada na teoria da sociomaterialidade, que aborda a interação entre elementos humanos e não humanos (como tecnologias e artefatos) nas práticas organizacionais. Esta abordagem foi relevante para compreender as novas dinâmicas decorrentes da atual digitalização no ambiente de trabalho, especialmente no que tange à construção colaborativa da estratégia. A metodologia de pesquisa adotada nesta tese é qualitativa, com enfoque etnográfico. A pesquisa envolveu a imersão do Pesquisador A em três projetos de consultoria, nos quais atuou como consultor e gestor de projetos, utilizando a observação participante como principal método de coleta de dados. Adotamos a técnica de interpretação de dados por meio de narrativas, permitindo a construção de entendimentos a partir das experiências e interações vivenciadas. Identificamos episódios com maior grau de abertura da estratégia, os quais categorizamos e relatamos de forma dialética e interpretativa. Os eixos de análise emergiram durante a pesquisa, permitindo uma compreensão aprofundada das práticas de inclusão e transparência nas interações, que são as dimensões que caracterizam a abertura da estratégia. As principais contribuições teóricas da tese residem numa possível revisão da denominação das dimensões da estratégia aberta, questionando os termos ?inclusão de pessoas? e ?transparência da informação?, e apresentando a ideia de ?engajamento de pessoas? e ?organização dos dados?, mais próximos dos desafios empresarias que identificamos. A pesquisa nos proporcionou apontar que a inclusão e o engajamento de colaboradores no processo são prejudicados pela falta de tempo (com o fator tempo emergindo como o mais crítico para a ocorrência de um processo de abertura). Além disso, a dificuldade de acesso à informação existe, mas não porque a empresa queira manter eventual sigilo, e sim, em função de os dados muitas vezes estarem desestruturados para análise e tomada de decisão. Como contribuição prática, destacamos a necessidade de emergir um novo papel do consultor, atuando como facilitador no processo de abertura da estratégia de forma agregadora e central.","Abstract: The phenomenon open strategy has been widely identified in the current technological scenario of the workplace. The adoption curve of new technologies was accelerated by external events, which changed the way of building and implementing the strategy. In this unprecedented scenario, the objective of this study arises: to understand how the opening of the strategy occurs considering interaction in online and in-person environments, from the perspective of sociomateriality. To this end, the research was based on the theory of sociomateriality, which addresses the interaction between human and non-human elements (such as technologies and artifacts) in organizational practices. This approach was relevant to understanding the new dynamics arising from the current digitalization in the workplace, especially with regard to the collaborative construction of strategy. The research methodology adopted in this thesis is qualitative, with an ethnographic focus. The research involved the immersion of Researcher A in three consultancy projects, in which he acted as a consultant and project manager, using participant observation as the main data collection method. Researcher A's own consulting company was the object of study. We adopted the technique of data interpretation through narratives, allowing the construction of understandings based on experiences and interactions. We identified episodes with a greater degree of open strategy, which we categorized and reported in a dialectical and interpretative way. The axes of analysis emerged during the research, allowing an in-depth understanding of the practices of inclusion and transparency in interactions, which are the dimensions that characterize the openness of the strategy. The main theoretical contributions of the thesis reside in a possible revision of the denomination of the dimensions of the open strategy, questioning the terms ?inclusion of people? and ?information transparency?, and presenting the idea of ?people engagement? and ?data organization?, closer to the business challenges we identified. In this sense, the research allowed us to point out that the inclusion and engagement of employees in the process are hampered by the lack of time (with the time factor emerging as the most critical for the occurrence of an opening process). Furthermore, the difficulty in accessing information exists, but not because the company wants to maintain any confidentiality, but because the data is often unstructured for analysis and decision making. As a practical contribution, we highlight the need for a new role for the consultant to emerge, acting as a facilitator in the process of opening the strategy in an aggregating and central way.",Lucas Miguel Gnigler,Rosalia Aldraci Barbosa Lavarda,2,Tese (Doutorado),https://repositorio.ufsc.br/handle/123456789/266327
