termo,frequencia
sao,3278
processo,2997
nao,2480
modelo,2373
sistemas,2329
forma,2111
conhecimento,2110
meio,2064
tambem,1968
processos,1895
sistema,1887
aplicacao,1875
tecnologia,1844
uso,1773
alem,1754
partir,1738
diferentes,1588
informacao,1581
empresas,1575
producao,1562
digital,1525
atraves,1460
contexto,1421
presente,1412
tecnicas,1394
tecnologias,1388
area,1369
assim,1362
estudos,1355
avaliacao,1319
deste,1312
atividades,1307
serao,1293
modelos,1269
design,1256
sendo,1252
base,1210
rede,1201
projetos,1197
comunicacao,1174
proposta,1169
digitais,1168
sera,1161
produtos,1160
neste,1160
cada,1134
informacoes,1127
brasil,1118
pode,1108
materiais,1108
literatura,1088
relacao,1081
bem,1065
ainda,1048
redes,1036
desempenho,1032
geral,1030
podem,1029
qualidade,1026
maior,1003
tempo,996
social,985
desenvolver,979
novos,979
novas,978
aplicacoes,974
atividade,974
desta,973
ciencia,972
metodologia,966
recursos,941
controle,917
industria,911
software,908
quanto,907
construcao,895
servicos,895
abordagem,890
ferramentas,889
caracteristicas,846
caso,845
pesquisas,839
fim,839
outros,837
tanto,831
praticas,827
principais,824
ambiente,821
grande,817
utilizacao,817
acoes,808
disso,804
engenharia,800
criacao,789
cientifica,784
possivel,781
utilizando,779
setor,778
formacao,769
tecnica,763
parte,763
campo,761
mercado,751
identificar,748
quais,744
areas,742
elementos,723
problemas,715
principal,709
outras,708
organizacoes,708
sociais,707
avaliar,703
tres,697
vez,696
capacidade,690
analisar,687
empresa,686
grupo,681
realizada,677
sociedade,673
anos,673
desenvolvido,672
busca,669
propriedades,668
visa,667
tecnologica,667
estado,666
estao,659
plataforma,644
nivel,632
durante,630
potencial,629
tipo,628
tais,626
dois,624
dispositivos,616
obtidos,615
aspectos,614
estrutura,614
utilizados,611
interacao,610
acordo,607
nesse,605
implementacao,599
acesso,597
comunidade,594
revisao,589
organizacao,588
ensino,586
duas,581
integracao,580
ate,578
pessoas,575
estrategias,573
conjunto,570
onde,570
diversos,568
proposto,567
diversas,566
necessidade,563
solucoes,563
nacional,558
the,554
produto,552
valor,549
ferramenta,547
usuarios,547
fase,546
etapa,544
internet,543
realizacao,539
visando,538
programa,538
problema,534
dessa,534
trabalhos,532
tese,531
modo,529
importancia,528
apresenta,528
realizadas,527
devido,527
fabricacao,527
parametros,523
realizar,522
identificacao,520
pratica,519
solucao,517
comportamento,516
etapas,515
relacoes,512
analises,505
and,505
modelagem,504
serem,503
conceitos,501
laboratorio,501
sentido,500
artigos,500
instituicoes,499
conteudo,499
execucao,498
apoio,497
testes,496
grupos,492
processamento,492
especificos,492
algoritmos,489
estruturas,488
pesquisadores,487
componentes,487
principalmente,487
condicoes,486
conhecimentos,485
aumento,484
ambientes,484
foco,483
dentro,482
fatores,481
profissionais,480
imagens,479
desafios,479
desse,478
contribuir,478
apos,475
tecnologico,471
interesse,469
melhor,468
publico,467
sob,458
longo,455
final,454
tema,453
aplicada,451
importante,448
experiencia,447
participacao,446
vem,440
novo,440
elaboracao,438
desses,436
relacionados,435
framework,432
material,431
cultura,431
considerando,431
dinamica,430
equipe,430
manufatura,428
cientificos,427
impacto,427
coleta,427
formas,425
caracterizacao,423
industrial,423
alta,422
tal,422
desde,421
cenario,420
geracao,416
suporte,414
compostos,413
numero,413
nova,412
pois,410
papel,409
utilizado,408
todos,402
ambito,401
tipos,401
compreender,400
planejamento,400
custo,400
tendo,399
eficiencia,398
crescimento,398
usuario,397
maneira,397
destes,397
procedimentos,396
promover,396
conceito,395
indicadores,394
cientifico,392
regiao,392
estrategia,391
espaco,391
propoe,391
sido,390
desenvolvidos,389
sinais,388
eou,388
vida,387
utilizadas,386
alguns,384
infraestrutura,384
nesta,384
posgraduacao,383
mecanismos,383
online,383
exemplo,383
decisao,383
seguranca,381
simulacao,380
qualitativa,380
brasileira,378
realizados,377
vista,377
pais,377
requisitos,377
equipamentos,376
influencia,375
estudantes,374
dentre,374
organizacional,373
investigacao,373
divulgacao,372
otimizacao,371
teoria,371
arquitetura,371
participantes,370
entanto,369
entrevistas,368
brasileiro,368
propor,367
portanto,366
soldagem,366
segundo,365
realizado,365
mundo,362
investigar,361
perspectiva,360
efeitos,360
apenas,359
atual,358
desenvolvidas,358
universidades,357
professores,355
ensaios,354
permite,354
especialistas,354
economia,353
computacional,352
efeito,351
atores,350
metodologias,349
primeira,348
cursos,348
validacao,348
manutencao,347
politicas,347
temas,346
graduacao,345
negocios,345
possui,344
atuacao,344
natureza,342
jornalismo,342
web,341
eventos,341
valores,340
servico,338
funcao,336
quatro,335
porem,335
humanos,335
publicacao,334
via,334
periodo,332
reducao,332
continuidade,331
bibliografica,330
ponto,330
tratamento,328
dissertacao,328
utilizada,328
casos,328
aprendizagem,327
baseado,327
real,327
educacao,326
gerenciamento,326
obtencao,325
propostas,325
relacionadas,323
evolucao,323
sensores,323
sintese,323
esperase,322
medicao,321
objeto,320
consiste,320
atualmente,319
internacional,319
primeiro,318
visao,318
questoes,318
traducao,317
plataformas,316
necessario,316
enquanto,315
abordagens,315
paises,314
niveis,314
existentes,313
algumas,313
inteligencia,312
melhoria,312
saude,311
compreensao,310
dessas,310
dar,309
mudancas,308
definicao,308
especialmente,308
agentes,307
possuem,307
logistica,306
intuito,306
todo,306
fundamental,306
complexidade,305
baseada,304
amostras,304
necessidades,303
florianopolis,303
distribuicao,303
outro,302
escala,302
termos,301
envolvidos,301
junto,299
desenvolvida,299
referencia,299
fluxo,297
tecnologicas,297
cooperacao,296
transformacao,295
grandes,294
apresentam,294
operacao,293
segunda,293
objetos,293
aplicado,292
obter,292
custos,291
pretendese,291
fontes,291
presenca,290
teorico,290
possam,289
conteudos,289
verificar,289
introducao,288
midias,288
monitoramento,286
dimensoes,284
sistematica,283
auxiliar,283
melhorar,283
capaz,281
quimica,281
computacao,281
linguagem,280
usando,280
acao,280
diretrizes,280
levantamento,279
programas,278
prototipo,277
fases,277
contribuicao,277
fisica,276
centro,275
textos,275
tecnologicos,275
variaveis,273
seguintes,272
realidade,271
teste,271
apesar,271
publica,270
todas,270
selecao,270
sul,269
falhas,269
possibilidade,268
diante,268
apresentar,267
representacao,267
celulas,266
importantes,266
publicas,265
disponiveis,265
programacao,264
alto,264
padroes,264
ter,263
iot,263
aplicados,263
internacionais,263
documentos,262
moveis,262
complexos,262
tratase,260
deteccao,260
diagnostico,259
arte,259
maquina,259
baixa,258
conceitual,258
transferencia,258
automacao,258
gestores,258
varios,257
computacionais,256
criterios,255
atender,255
setores,255
baixo,255
envolvendo,255
percepcao,255
possiveis,255
periodicos,254
tomada,254
instrumento,254
confidencialidade,252
adocao,252
momento,252
incluindo,251
ideias,250
capital,250
historia,250
publicacoes,249
interface,249
classificacao,249
cientificas,248
robos,248
colaboracao,248
total,247
criar,247
menos,246
pontos,246
destas,246
relevancia,246
demanda,245
deve,245
libras,244
ultimos,244
ciencias,244
revista,243
cadeia,243
estudar,243
industriais,243
profissional,243
lingua,242
resistencia,242
questionario,242
brasileiras,241
gerar,241
oportunidades,240
avanco,240
compartilhamento,240
jogos,239
entretanto,239
aquisicao,238
mapeamento,238
economico,238
competencias,237
parceria,237
central,237
velocidade,236
iii,236
cenarios,236
descritiva,236
implantacao,236
acerca,235
artificial,235
tecnicos,235
departamento,235
comparacao,234
possibilidades,234
instrumentos,234
pecas,233
nacionais,233
aberta,233
melhorias,232
crescente,232
virtual,232
entendimento,232
contribuicoes,231
funcoes,229
documental,228
inovacoes,228
aprendizado,228
devem,228
perfil,228
global,227
baseados,227
verificacao,227
exploratoria,227
impressao,227
inclusao,226
usabilidade,225
experimental,225
respeito,225
conforme,223
padrao,222
linha,222
especificamente,222
energia,222
matriz,222
startups,222
apresentaram,222
dispositivo,222
relevantes,221
categorias,220
laser,220
experimentais,220
criancas,219
demais,219
sucesso,218
maquinas,218
experimentos,218
catarinense,217
eficiente,217
bases,216
movimento,215
demandas,215
especial,214
muitas,214
competitividade,214
presentes,214
produtividade,213
estrutural,213
temperatura,212
teorica,212
analisados,212
menor,211
resolucao,211
resposta,211
espacos,210
frente,210
circuitos,210
entao,209
imagem,209
publicos,208
permitindo,208
quantidade,208
dominio,208
linhas,208
estados,206
decisoes,206
leitura,206
principios,206
pretende,206
cinco,206
data,205
banco,205
habilidades,205
ciclo,205
tematica,204
algoritmo,204
livro,204
tecnico,203
etc,203
local,202
negocio,202
vezes,201
impactos,201
mecanica,201
ativos,200
experiencias,200
edicao,200
superior,200
nucleo,200
interacoes,199
composto,199
visual,199
disseminacao,199
aplicadas,199
celular,199
melhores,198
inteligentes,198
simulacoes,197
faz,197
corpo,197
governanca,197
normas,197
coletados,196
composicao,196
meios,196
fazer,196
grau,195
capazes,195
inicialmente,195
proposicao,195
orientacao,195
estabelecer,195
avancos,194
medidas,194
conta,194
academica,194
tarefas,194
produzir,193
ocorre,193
carater,192
ambiental,192
unidades,192
economica,192
hardware,192
regioes,191
obras,191
pouco,191
serie,190
politica,190
apresentacao,190
eletronica,190
texto,190
midia,190
aumentar,189
intelectual,188
viabilidade,188
extracao,188
especificas,188
questao,187
academicos,187
formato,187
mesma,186
fator,186
utilizar,186
amostra,186
confiabilidade,186
apresentou,185
insercao,185
aberto,185
superficie,185
apresentado,184
especifico,184
beneficios,184
apresentados,184
contextos,183
especies,183
mudanca,183
envolve,183
lado,183
ampliar,183
aditiva,183
maioria,183
propriedade,183
science,182
memoria,182
empreendedorismo,182
consumo,182
dimensao,182
academico,181
fato,181
embora,181
concepcao,181
medio,181
falta,181
brasileiros,181
tradicionais,181
nessa,180
diretamente,180
discussao,180
autores,180
reais,179
interfaces,179
estruturais,179
softwares,178
visualizacao,178
contendo,178
atuais,178
plano,177
auxilio,177
nanoparticulas,177
descricao,177
armazenamento,177
instituicao,177
protecao,176
equipes,176
contato,176
campos,176
medida,176
mestrado,175
marketing,175
aplicativo,175
carga,175
reconhecimento,175
versao,174
determinacao,174
necessarios,174
maiores,173
muitos,173
civil,173
operacional,172
media,172
posteriormente,172
expansao,172
existem,172
atingir,171
estatistica,171
eletrica,170
contudo,170
industrias,170
qualquer,170
possa,170
funcionamento,170
aprimoramento,169
dinamicas,169
teoricos,169
inicial,169
construir,169
obtidas,168
institucional,168
concentracao,168
desafio,168
marca,168
trata,168
regional,168
propostos,168
humano,167
relevante,167
difusao,167
promocao,167
riscos,167
competicao,167
dias,166
registro,166
permitem,166
identificados,165
transmissao,165
frequencia,165
cultural,165
operacoes,165
limitacoes,164
mostram,164
alternativa,163
mundial,163
iniciativas,162
locais,162
objetiva,162
fonte,161
apoiar,161
contribui,161
varias,161
consolidacao,161
produzidos,161
mecanismo,160
doutorado,160
conclusao,159
dificuldades,159
luz,158
protocolo,158
estrategico,158
populacao,158
videos,158
alcancar,158
desenho,157
garantir,157
inovadoras,157
situacao,157
fenomeno,157
aplicar,157
laboratorios,156
performance,156
coordenacao,156
ecossistema,156
encontrados,155
seis,155
maturidade,155
equipamento,155
avaliados,154
finalidade,154
disciplinas,154
podese,154
capacitacao,154
inovador,154
universitaria,154
simples,153
tamanho,153
procedimento,153
filmes,153
existencia,153
essencial,153
massa,153
reduzir,152
livros,152
buscando,152
feita,151
fornecer,151
constante,151
instituto,151
centros,150
mecanicas,150
estruturacao,150
vantagens,150
enfase,150
respostas,150
entender,150
necessarias,150
escopo,150
estabilidade,150
codigo,149
movel,149
pequenas,149
aqui,149
investimentos,149
injecao,149
evento,148
potencia,148
precisao,148
ingles,148
internacionalizacao,148
identificadas,148
existe,148
baseadas,148
inicio,147
ambos,147
proporcionar,147
utilizam,146
seguida,146
membros,146
localizacao,145
proposito,145
eficacia,145
configuracao,145
virtuais,145
explorar,145
alteracoes,144
corrente,144
video,144
direta,144
consequentemente,144
interpretacao,144
atencao,144
patentes,143
continua,143
eletronicos,143
geometria,143
entrada,143
naturais,142
implementar,142
emprego,142
capacidades,142
direitos,142
adequada,142
producoes,142
partes,142
ampliacao,142
concreto,141
prazo,141
coisas,141
individuos,141
financeiros,141
volume,141
tarefa,141
esperados,141
restricoes,141
camada,141
poder,140
futuros,140
origem,140
identidade,140
corte,140
significativa,140
equacoes,140
definir,140
nuvem,140
mostraram,140
expressao,139
oportunidade,139
oferecer,139
fisicos,138
alternativas,138
adaptacao,138
treinamento,138
transformacoes,138
fluxos,137
ordem,137
tensao,137
associacao,137
permitiu,137
fundamentos,137
pacientes,137
natural,137
prototipos,137
permitir,137
dinamicos,136
blockchain,136
criatividade,136
veiculos,136
operacionais,136
forca,136
transporte,136
comercial,136
governo,136
recomendacoes,135
covid,135
recuperacao,135
determinar,135
camadas,135
toda,135
somente,135
taxa,134
recentes,134
canal,134
comerciais,134
tradicional,134
site,134
atendimento,133
situacoes,133
considerados,133
barreiras,133
contribuindo,133
aplicativos,133
fio,133
analisadas,133
associados,132
polimeros,132
integrado,132
clientes,132
interna,131
itens,131
canais,131
observacao,131
aprimorar,131
robotica,131
preservacao,131
visto,131
necessaria,131
critica,131
recentemente,131
ruido,131
eficientes,131
culturais,131
funcionais,131
metodologicos,130
perspectivas,130
diferencas,130
mostrou,130
fisicas,130
descrever,130
complexas,130
representa,130
caracteristica,130
caracterizar,130
outra,129
pressao,129
incorporacao,129
diversidade,129
joinville,129
podendo,129
propria,129
posicao,129
comunidades,128
hoje,128
mediante,128
utiliza,128
temse,128
responsavel,128
envolvem,127
rapida,127
multiplos,127
entidades,127
manter,127
produtivo,127
exploracao,127
neurais,127
podera,126
destaque,126
indicam,126
metricas,126
quantitativa,126
torno,126
fenomenos,126
decadas,126
aplicabilidade,126
eletricos,126
research,126
distintas,125
especiais,125
oficinas,125
paradigma,125
campus,125
superficies,124
esforcos,124
lei,124
obra,124
precisam,124
fundamentais,124
investimento,124
relatorios,124
essenciais,123
troca,123
calculo,123
complexo,123
relacionamento,123
fins,123
dia,123
livre,123
moldes,123
compositos,123
